CraneNO,OrderNO,ControlMode,RecTime,CurX,CurY,CurZ,CurHasCoil,PlanUpX,PlanUpY,PlanUpZ,PlanDownX,PlanDownY,PlanDownZ,
1_3,999999,4,20200925150943,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150944,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150945,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150946,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150947,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150948,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150949,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150950,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150951,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150952,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150953,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150954,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150955,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150956,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150957,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150958,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925150959,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151000,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151001,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151002,67804,3048,5717,0,67804,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151003,67804,3048,5717,0,97000,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151004,67804,3048,5717,0,97000,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151005,67900,3048,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151006,68238,3048,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151007,68846,3056,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151008,69766,3172,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151009,70890,3357,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151010,72204,3657,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151011,73994,4100,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151012,75634,4609,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151013,77038,5152,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151014,79510,5923,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151015,81232,6697,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151016,83478,7464,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151017,85644,8509,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151018,87494,9501,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151019,89044,10493,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151020,91098,11487,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151021,92470,12480,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151022,93790,13374,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151023,94908,14465,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151024,95648,15457,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151025,96166,16351,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151026,96438,17444,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151027,96512,18339,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151028,96610,19333,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151029,96710,20427,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151030,96810,21322,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151031,96894,22317,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151032,96922,23411,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151033,96980,24365,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151034,96986,25139,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151035,96988,26041,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151036,96984,26792,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151037,96986,27384,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151038,96986,27998,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151039,96986,28452,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151040,96984,28806,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151041,96986,29060,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151042,96986,29214,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151043,96986,29298,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151044,96986,29408,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151045,96986,29507,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151046,96986,29597,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151047,96986,29706,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151048,96986,29796,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151049,96984,29896,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151050,96984,30005,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151051,96984,30076,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151052,96986,30130,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151053,96986,30186,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151054,96986,30201,5717,0,97000,30220,999999,999999,999999,999999,
1_3,999999,4,20200925151055,96984,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151056,96964,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151057,96714,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151058,96482,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151059,96086,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151100,95584,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151101,95114,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151102,94546,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151103,94056,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151104,93552,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151105,93016,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151106,92510,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151107,92020,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151108,91466,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151109,90980,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151110,90520,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151111,90012,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151112,89742,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151113,89432,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151114,89264,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151115,89164,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151116,89070,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151117,88956,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151118,88874,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151119,88768,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151120,88714,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151121,88668,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151122,88620,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151123,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151124,88614,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151125,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151126,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151127,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151128,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151129,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151130,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151131,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151132,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151133,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151134,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151135,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151136,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151137,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151138,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151139,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151140,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151141,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151142,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151143,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151144,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151145,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151146,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151147,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151148,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151149,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151150,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151151,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151152,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151153,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151154,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151155,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151156,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151157,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151158,88616,30200,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151159,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151200,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151201,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151202,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151203,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151204,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151205,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151206,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151206,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151208,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151209,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151210,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151211,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151212,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151213,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151214,88616,30201,5717,0,88636,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151215,88616,30200,5717,0,89120,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151216,88616,30201,5717,0,89120,999999,999999,999999,999999,999999,
1_3,999999,4,20200925151217,88616,30201,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151218,88656,30201,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151219,88710,30200,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151220,88750,30119,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151221,88810,29936,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151222,88850,29687,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151223,88910,29272,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151224,88946,28791,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151225,89000,28212,5717,0,89120,5441,999999,999999,999999,999999,
